Date,Average 2015-2019,Cereb Vasc
2020-01-06T05:00:00.000Z,3108.6,3095
2020-01-13T05:00:00.000Z,3085.2,3176
2020-01-20T05:00:00.000Z,3081.4,3226
2020-01-27T05:00:00.000Z,3038.4,3158
2020-02-03T05:00:00.000Z,2972.2,3041
2020-02-10T05:00:00.000Z,2963.4,3032
2020-02-17T05:00:00.000Z,2955.6,3030
2020-02-24T05:00:00.000Z,2927.6,3059
2020-03-03T05:00:00.000Z,2944.2,3124
2020-03-10T04:00:00.000Z,2914.6,3064
2020-03-17T04:00:00.000Z,2874.6,3104
2020-03-24T04:00:00.000Z,2872.2,3045
2020-03-31T04:00:00.000Z,2829.8,3055
2020-04-07T04:00:00.000Z,2805,3138
2020-04-14T04:00:00.000Z,2852.8,3173
2020-04-21T04:00:00.000Z,2720.8,3179
2020-04-28T04:00:00.000Z,2683.6,3036
2020-05-05T04:00:00.000Z,2726.2,2997
2020-05-12T04:00:00.000Z,2665,2821
2020-05-19T04:00:00.000Z,2649.2,2927
2020-05-26T04:00:00.000Z,2598,2773
2020-06-02T04:00:00.000Z,2612.6,2810
2020-06-09T04:00:00.000Z,2600,2755
2020-06-16T04:00:00.000Z,2574,2811
2020-06-23T04:00:00.000Z,2597.8,2858
2020-06-30T04:00:00.000Z,2552.6,2893
2020-07-07T04:00:00.000Z,2556.2,2734
2020-07-14T04:00:00.000Z,2607.8,2788
2020-07-21T04:00:00.000Z,2541.8,2801
2020-07-28T04:00:00.000Z,2539.8,2666
2020-08-04T04:00:00.000Z,2560.8,2752
